"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_Substance03 Rt(min)","T2-EIC(+)[M+H]_Substance03 AreaAbs","T3-EIC(+)[M+H]_caffeine Rt(min)","T3-EIC(+)[M+H]_caffeine AreaAbs","TWC_hydrodeamination product Rt(min)","TWC_hydrodeamination product AreaAbs","T3-EIC(+)[M+H]_Substance07 Rt(min)","T3-EIC(+)[M+H]_Substance07 AreaAbs","T3-EIC(+)[M+H]_Substance08 Rt(min)","T3-EIC(+)[M+H]_Substance08 AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","TWC_Substance12 Rt(min)","TWC_Substance12 AreaAbs","TWC_Substance13 Rt(min)","TWC_Substance13 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance09 Rt(min)","T2-EIC(+)[M+H]_Substance09 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance02 Rt(min)","T3-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance02 Rt(min)","T2-EIC(+)[M+H]_Substance02 AreaAbs","T2-EIC(+)[M+H]_Substance10 Rt(min)","T2-EIC(+)[M+H]_Substance10 AreaAbs","T3-EIC(+)[M+H]_Substance09 Rt(min)","T3-EIC(+)[M+H]_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs"
"K1","K1.raw","1/10/2021 7:27:25 AM","11","","YS0500302","","Yuning",0.284,133393.53962,0.347,149054.83063,0.423,381326.17123,0.387,15962.46216,0.489,18851.08362,0,0,0.508,18441.67331,0.546,35061.70400,0,0,0.350,224854.31037,0.425,632141.41007,0,0,0.736,33406.77682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L1","L1.raw","1/10/2021 7:29:12 AM","12","","YS0500302","","Yuning",0.284,76344.75338,0.348,93846.88247,0.422,208514.38659,0.376,19648.06705,0.474,21328.64381,0,0,0.490,6374.78583,0.520,6037.11141,0,0,0.350,139121.03175,0.425,382170.75190,0,0,0.563,13779.93843,0.586,18014.01074,0.735,5983.00474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1","M1.raw","1/10/2021 7:30:59 AM","13","","YS0500302","","Yuning",0.283,83159.20983,0.346,147636.54736,0.424,40965.50149,0.328,26520.55801,0.372,24162.35339,0,0,0.440,14468.48098,0.473,14589.06640,0,0,0.350,178143.99238,0.425,41744.50639,0.377,23584.33515,0.542,34591.86023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.350,13589.17160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N1","N1.raw","1/10/2021 7:32:46 AM","14","","YS0500302","","Yuning",0.282,129863.02739,0.348,136023.40056,0.423,379408.40355,0.394,38738.52349,0.543,126173.08177,0,0,0.736,701705.19781,0,0,0,0,0.350,198601.94177,0.427,643946.03296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O1","O1.raw","1/10/2021 7:34:34 AM","15","","YS0500302","","Yuning",0.283,114336.20100,0.347,142028.38876,0.423,168037.06744,0.329,173462.20370,0.543,74930.41212,0,0,0,0,0,0,0,0,0.350,179345.46714,0.427,307019.61896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1","P1.raw","1/10/2021 7:36:22 AM","16","","YS0500302","","Yuning",0.282,204178.21892,0.347,135757.30763,0.423,443676.12607,0.396,10209.95332,0.541,23148.10547,0.484,20005.09366,0.561,8847.24153,0.736,17828.85782,0.493,5226.31778,0.350,195434.95858,0.427,673078.16956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2","A2.raw","1/10/2021 7:38:09 AM","17","","YS0500302","","Yuning",0.282,78387.07466,0.346,139061.91167,0.422,449546.13755,0.395,19014.05967,0.439,127317.05010,0,0,0.484,16270.55930,0.543,13397.69750,0,0,0.352,212262.07129,0.427,715830.27982,0,0,0.735,44291.88505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2","B2.raw","1/10/2021 7:39:56 AM","18","","YS0500302","","Yuning",0.283,88369.53376,0.347,156618.96019,0.423,111074.35820,0.438,48453.70783,0.467,350963.31070,0,0,0.510,39226.91026,0.542,38287.54384,0,0,0.350,248753.17221,0.425,231769.79439,0,0,0.560,14091.08897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2","C2.raw","1/10/2021 7:41:45 AM","19","","YS0500302","","Yuning",0.283,75221.15986,0.347,134062.37390,0.421,184532.89157,0.395,53845.16524,0.430,134644.55049,0,0,0.484,14555.36145,0.540,72870.18588,0,0,0.352,223324.06916,0.427,201284.59922,0,0,0.636,13484.56260,0.869,7172.17273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2","D2.raw","1/10/2021 7:43:34 AM","20","","YS0500302","","Yuning",0.286,72157.05432,0.347,190801.21568,0.424,244189.12673,0.371,97936.55451,0.394,13880.35702,0,0,0.466,67421.50645,0.483,57123.06795,0,0,0.352,261750.64966,0.427,423673.38771,0,0,0.513,10084.01946,0.543,27920.14447,0.563,73125.61223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
