"Sample Name","Data File","Acquired","Location","Batch","Job Code","Sample ID","User","TWC_Substance01 Rt(min)","TWC_Substance01 AreaAbs","TWC_Substance02 Rt(min)","TWC_Substance02 AreaAbs","TWC_caffeine Rt(min)","TWC_caffeine AreaAbs","TWC_Substance03 Rt(min)","TWC_Substance03 AreaAbs","TWC_sulfadoxin Rt(min)","TWC_sulfadoxin AreaAbs","TWC_Substance04 Rt(min)","TWC_Substance04 AreaAbs","TWC_Substance05 Rt(min)","TWC_Substance05 AreaAbs","T1-EIC(+)[M+H]_caffeine Rt(min)","T1-EIC(+)[M+H]_caffeine AreaAbs","T3-EIC(+)[M+H]_sulfadoxin Rt(min)","T3-EIC(+)[M+H]_sulfadoxin AreaAbs","TWC_Substance06 Rt(min)","TWC_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance03 Rt(min)","T3-EIC(+)[M+H]_Substance03 AreaAbs","TWC_hydrodeamination product  Rt(min)","TWC_hydrodeamination product  AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product  Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product  AreaAbs","TWC_Substance07 Rt(min)","TWC_Substance07 AreaAbs","TWC_Substance08 Rt(min)","TWC_Substance08 AreaAbs","TWC_Substance09 Rt(min)","TWC_Substance09 AreaAbs","T2-EIC(+)[M+H]_Substance05 Rt(min)","T2-EIC(+)[M+H]_Substance05 AreaAbs","T2-EIC(+)[M+H]_Substance06 Rt(min)","T2-EIC(+)[M+H]_Substance06 AreaAbs","T3-EIC(+)[M+H]_Substance04 Rt(min)","T3-EIC(+)[M+H]_Substance04 AreaAbs","TWC_hydrodeamination product Rt(min)","TWC_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_hydrodeamination product Rt(min)","T2-EIC(+)[M+H]_hydrodeamination product AreaAbs","T2-EIC(+)[M+H]_Substance08 Rt(min)","T2-EIC(+)[M+H]_Substance08 AreaAbs","TWC_Substance10 Rt(min)","TWC_Substance10 AreaAbs","T3-EIC(+)[M+H]_Substance05 Rt(min)","T3-EIC(+)[M+H]_Substance05 AreaAbs","TWC_Substance11 Rt(min)","TWC_Substance11 AreaAbs","T2-EIC(+)[M+H]_Substance10 Rt(min)","T2-EIC(+)[M+H]_Substance10 AreaAbs","T2-EIC(+)[M+H]_Substance09 Rt(min)","T2-EIC(+)[M+H]_Substance09 AreaAbs","T3-EIC(+)[M+H]_Substance06 Rt(min)","T3-EIC(+)[M+H]_Substance06 AreaAbs","T2-EIC(+)[M+H]_Substance07 Rt(min)","T2-EIC(+)[M+H]_Substance07 AreaAbs","T2-EIC(+)[M+H]_Substance02 Rt(min)","T2-EIC(+)[M+H]_Substance02 AreaAbs"
"L1","L1.raw","1/10/2021 7:42:09 PM","12","","YS0500303","","Yuning",0.282,111373.99757,0.378,88718.11687,0.347,158252.28480,0.476,64225.48512,0.422,179663.05774,0.516,42440.36236,0.541,18273.37192,0.350,205522.58757,0.425,297173.56682,0.554,39842.83949,0,0,0,0,0,0,0.603,16880.33735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M1","M1.raw","1/10/2021 7:43:57 PM","13","","YS0500303","","Yuning",0.282,145567.09972,0.328,28502.49037,0.347,243049.21324,0.443,12018.07228,0.423,93061.55255,0.471,23961.28400,0.486,22405.91708,0.350,225918.41084,0.427,62055.37224,0.524,17826.25526,0,0,0,0,0,0,0.542,90627.93661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"N1","N1.raw","1/10/2021 7:45:45 PM","14","","YS0500303","","Yuning",0.283,165178.65142,0.328,28520.74670,0.345,157066.48069,0.394,21540.71931,0.423,390623.07906,0.542,66111.34765,0.734,712302.28888,0.350,197083.63959,0.425,573636.28178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O1","O1.raw","1/10/2021 7:47:33 PM","15","","YS0500303","","Yuning",0.282,161252.41084,0.328,326963.61732,0.345,218334.84217,0.374,41546.32665,0.422,60272.48431,0.484,16286.71291,0.541,92696.82877,0.350,200737.06418,0.427,101321.19800,0.661,11098.79241,0.377,34449.42059,0,0,0,0,0,0,0,0,0,0,0,0,0.664,19765.71657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P1","P1.raw","1/10/2021 7:49:21 PM","16","","YS0500303","","Yuning",0.282,162899.57608,0.328,42079.03131,0.347,190361.34221,0.395,31980.04780,0.422,385491.97474,0.460,40308.63980,0.485,13093.85791,0.350,237803.58786,0.425,495836.45833,0.541,50835.91421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2","A2.raw","1/10/2021 7:51:09 PM","17","","YS0500303","","Yuning",0.284,177092.58376,0.329,297966.68342,0.346,344547.59255,0.374,29812.44067,0.426,32757.85852,0.395,89977.22233,0.485,23371.66394,0.350,183845.53403,0.425,33733.04235,0.542,11581.86226,0.377,31441.62454,0,0,0,0,0.612,18113.56476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2","B2.raw","1/10/2021 7:52:57 PM","18","","YS0500303","","Yuning",0.282,101085.49292,0.328,328038.43169,0.346,248693.98605,0.372,33546.24168,0.423,26447.86223,0.484,15373.50098,0,0,0.350,196425.85218,0.425,39796.84646,0,0,0.377,32736.06629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2","C2.raw","1/10/2021 7:54:46 PM","19","","YS0500303","","Yuning",0.282,125868.88545,0.301,13840.98195,0.347,311986.63812,0.328,364139.55906,0,0,0.373,28620.39138,0.395,91068.66799,0.350,232739.44698,0,0,0.485,14336.26347,0,0,0,0,0,0,0.542,37993.50958,0,0,0,0,0,0,0,0,0.377,39623.78541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"D2","D2.raw","1/10/2021 7:56:35 PM","20","","YS0500303","","Yuning",0.282,75354.92696,0.301,43438.81461,0.345,167558.26873,0.328,222401.45341,0.422,63739.19485,0.371,7200.69904,0.395,71322.91567,0.350,204263.85451,0.425,131841.69957,0.483,11455.37936,0,0,0,0,0,0,0.542,12037.71133,0.736,9289.24549,0,0,0,0,0,0,0.377,16087.16786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E2","E2.raw","1/10/2021 7:58:23 PM","21","","YS0500303","","Yuning",0.282,105978.24805,0.328,151829.34502,0.348,418484.21803,0.495,67929.62428,0.425,65776.45024,0.524,35578.28636,0,0,0.350,178339.93113,0.425,23455.88977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
